Date:, SPY1M:, SPY3M:, SPY6M:, QQQ1M:, QQQ3M:, QQQ6M:
2021-03-05,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
2021-03-04,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
2021-03-03,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
2021-03-02,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
2021-03-01,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
2021-02-26,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
2021-02-25,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
2021-02-24,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
2021-02-23,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
2021-02-22,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
2021-02-12,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
2021-02-11,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
2021-02-10,        1.02%,       NaN,        NaN,        -5.2%,       NaN,        NaN
2021-02-09,        0.84%,       NaN,        NaN,        -4.64%,       NaN,        NaN
2021-02-08,        -0.24%,       NaN,        NaN,        -6.8%,       NaN,        NaN
2021-02-05,        -1.54%,       NaN,        NaN,        -9.48%,       NaN,        NaN
2021-02-04,        -1.16%,       NaN,        NaN,        -9.18%,       NaN,        NaN
2021-02-03,        0.47%,       NaN,        NaN,        -5.42%,       NaN,        NaN
2021-02-02,        -1.27%,       NaN,        NaN,        -7.2%,       NaN,        NaN
2021-02-01,        1.38%,       NaN,        NaN,        -4.11%,       NaN,        NaN
2021-01-25,        1.92%,       NaN,        NaN,        -1.21%,       NaN,        NaN
2021-01-22,        1.08%,       NaN,        NaN,        -0.92%,       NaN,        NaN
2021-01-21,        0.73%,       NaN,        NaN,        -1.2%,       NaN,        NaN
2021-01-20,        1.6%,       NaN,        NaN,        2.24%,       NaN,        NaN
2021-01-19,        3.19%,       NaN,        NaN,        5.08%,       NaN,        NaN
2021-01-15,        4.42%,       NaN,        NaN,        7.59%,       NaN,        NaN
2021-01-14,        3.66%,       NaN,        NaN,        6.74%,       NaN,        NaN
2021-01-13,        3.38%,       NaN,        NaN,        6.46%,       NaN,        NaN
2021-01-12,        3.15%,       NaN,        NaN,        6.58%,       NaN,        NaN
2021-01-11,        3.01%,       NaN,        NaN,        5.83%,       NaN,        NaN
2021-01-08,        2.43%,       NaN,        NaN,        4.56%,       NaN,        NaN
2021-01-07,        3.01%,       NaN,        NaN,        5.91%,       NaN,        NaN
2021-01-05,        4.0%,       NaN,        NaN,        5.89%,       NaN,        NaN
2021-01-04,        3.54%,       NaN,        NaN,        5.52%,       NaN,        NaN
2020-12-22,        4.63%,       NaN,        NaN,        5.36%,       NaN,        NaN
2020-12-21,        4.36%,       NaN,        NaN,        4.81%,       NaN,        NaN
2020-12-18,        2.57%,       NaN,        NaN,        2.05%,       NaN,        NaN
