Ticker:,Buy Date:,Seg:,1D inc:,1W inc:,1M inc:,1Y inc:,1W runup:,1M runup:
$COST,        03/05/2021,        D,        -1.86%,       4.36%,       NaN,        NaN,        -4.13%,       -10.67%
$DKS,        03/05/2021,        D,        6.96%,       5.51%,       NaN,        NaN,        0.45%,       -0.86%
$NTNX,        03/05/2021,        I,        -5.68%,       0.33%,       NaN,        NaN,        -9.96%,       -17.89%
$OKTA,        03/05/2021,        I,        -3.45%,       5.11%,       NaN,        NaN,        -17.4%,       -21.82%
$ORCL,        03/05/2021,        D,        3.13%,       -4.02%,       NaN,        NaN,        8.46%,       12.55%
$TREX,        03/05/2021,        I,        0.33%,       8.98%,       NaN,        NaN,        -3.71%,       -7.81%
$ULTA,        03/05/2021,        D,        3.72%,       -4.57%,       NaN,        NaN,        3.43%,       15.36%
$UMC,        03/05/2021,        L,        -6.74%,       1.97%,       NaN,        NaN,        -12.14%,       -8.5%
$CVM,        03/04/2021,        L,        6.0%,       8.79%,       NaN,        NaN,        -0.22%,       -19.37%
$FEYE,        03/04/2021,        I,        0.96%,       9.57%,       NaN,        NaN,        -2.94%,       -13.36%
$SPLK,        03/04/2021,        I,        -1.94%,       -0.92%,       NaN,        NaN,        -3.87%,       -20.34%
$AEP,        03/03/2021,        I,        1.22%,       6.39%,       NaN,        NaN,        -1.01%,       -5.99%
$BA,        03/03/2021,        D,        -1.68%,       7.34%,       NaN,        NaN,        -0.34%,       16.71%
$EBS,        03/03/2021,        I,        -4.07%,       -5.38%,       NaN,        NaN,        -4.12%,       -18.19%
$FB,        03/03/2021,        L,        0.87%,       3.72%,       NaN,        NaN,        -3.37%,       -2.52%
$GRPN,        03/03/2021,        L,        -0.75%,       -2.6%,       NaN,        NaN,        58.7%,       69.15%
$NCLH,        03/03/2021,        D,        -0.69%,       -10.84%,       NaN,        NaN,        5.95%,       47.9%
$RCL,        03/03/2021,        D,        -3.04%,       -7.58%,       NaN,        NaN,        -2.26%,       43.7%
$UAL,        03/03/2021,        D,        -4.62%,       -1.19%,       NaN,        NaN,        -0.71%,       36.63%
$WEN,        03/03/2021,        I,        -3.68%,       1.74%,       NaN,        NaN,        -1.52%,       -1.52%
$BWA,        03/02/2021,        L,        2.38%,       5.82%,       NaN,        NaN,        2.99%,       10.07%
$CGC,        03/02/2021,        I,        -5.7%,       -6.38%,       NaN,        NaN,        -0.17%,       -12.03%
$JNJ,        03/02/2021,        I,        -1.76%,       -0.83%,       NaN,        NaN,        -0.89%,       -2.52%
$MGA,        03/02/2021,        L,        2.64%,       1.9%,       NaN,        NaN,        0.63%,       22.95%
$PANW,        03/02/2021,        L,        -3.07%,       -3.45%,       NaN,        NaN,        -6.14%,       1.11%
$PEG,        03/02/2021,        I,        -0.66%,       5.35%,       NaN,        NaN,        -5.47%,       -3.23%
$PFE,        03/02/2021,        L,        2.63%,       2.81%,       NaN,        NaN,        -1.18%,       -6.66%
$XL,        03/02/2021,        I,        -13.1%,       -27.15%,       NaN,        NaN,        9.62%,       -15.96%
$ZG,        03/02/2021,        L,        -9.45%,       -15.65%,       NaN,        NaN,        -3.47%,       21.84%
$ABNB,        03/01/2021,        D,        -3.32%,       -7.95%,       NaN,        NaN,        0.55%,       6.97%
$BYND,        03/01/2021,        L,        -5.06%,       -8.02%,       NaN,        NaN,        -2.49%,       -17.39%
$CRM,        03/01/2021,        D,        -1.87%,       -4.51%,       NaN,        NaN,        -9.72%,       -3.56%
$EW,        03/01/2021,        L,        0.59%,       -6.35%,       NaN,        NaN,        2.92%,       3.86%
$F,        03/01/2021,        D,        4.76%,       5.59%,       NaN,        NaN,        2.39%,       13.77%
$FRT,        03/01/2021,        D,        -2.36%,       5.0%,       NaN,        NaN,        3.38%,       18.78%
$FSR,        03/01/2021,        D,        3.18%,       -20.6%,       NaN,        NaN,        51.1%,       82.17%
$MLM,        03/01/2021,        I,        -3.16%,       -3.87%,       NaN,        NaN,        5.93%,       20.93%
$NVDA,        03/01/2021,        D,        -3.15%,       -16.24%,       NaN,        NaN,        -3.58%,       6.56%
$PENN,        03/01/2021,        L,        -0.89%,       -13.45%,       NaN,        NaN,        7.16%,       21.73%
$RL,        03/01/2021,        D,        1.08%,       5.16%,       NaN,        NaN,        2.52%,       19.09%
$SAIL,        03/01/2021,        I,        -1.99%,       -16.25%,       NaN,        NaN,        3.8%,       9.24%
$SNAP,        03/01/2021,        L,        -3.24%,       -20.67%,       NaN,        NaN,        5.14%,       25.94%
$SQ,        03/01/2021,        D,        4.65%,       -16.24%,       NaN,        NaN,        -10.1%,       11.59%
$TWTR,        03/01/2021,        D,        -5.1%,       -18.23%,       NaN,        NaN,        10.13%,       53.63%
$ULTA,        03/01/2021,        D,        -0.18%,       2.47%,       NaN,        NaN,        2.9%,       20.61%
$ANET,        02/26/2021,        I,        2.89%,       -2.42%,       NaN,        NaN,        -10.0%,       -8.46%
$COST,        02/26/2021,        D,        0.23%,       -4.13%,       NaN,        NaN,        -6.7%,       -7.12%
$DLTR,        02/26/2021,        D,        1.05%,       5.99%,       NaN,        NaN,        -8.99%,       -3.31%
$LDL,        02/26/2021,        I,        13.09%,       8.33%,       NaN,        NaN,        1.13%,       19.77%
$LMND,        02/26/2021,        D,        5.28%,       -26.15%,       NaN,        NaN,        -15.34%,       -19.37%
$MSGS,        02/26/2021,        L,        6.49%,       3.83%,       NaN,        NaN,        0.18%,       17.13%
$NK,        02/26/2021,        L,        2.43%,       -17.56%,       NaN,        NaN,        -16.9%,       64.52%
$RKT,        02/26/2021,        L,        11.21%,       14.87%,       NaN,        NaN,        7.79%,       -5.0%
$SNOW,        02/26/2021,        D,        4.87%,       -7.63%,       NaN,        NaN,        -10.5%,       -2.5%
$TGT,        02/26/2021,        D,        1.44%,       -5.9%,       NaN,        NaN,        -2.85%,       2.89%
$TSLA,        02/26/2021,        L,        6.36%,       -11.48%,       NaN,        NaN,        -13.54%,       -21.83%
$WDAY,        02/26/2021,        I,        3.11%,       -3.33%,       NaN,        NaN,        -11.28%,       9.72%
$WEN,        02/26/2021,        D,        4.16%,       -3.77%,       NaN,        NaN,        -1.11%,       -1.11%
$ZM,        02/26/2021,        D,        9.65%,       -9.68%,       NaN,        NaN,        -10.46%,       0.77%
$ABNB,        02/25/2021,        I,        13.34%,       -1.01%,       NaN,        NaN,        -8.07%,       -5.54%
