Ticker:,Buy Date:,Seg:,3M inc:,6M inc:
$COST,        03/05/2021,        D,        NaN,        NaN
$DKS,        03/05/2021,        D,        NaN,        NaN
$NTNX,        03/05/2021,        I,        NaN,        NaN
$OKTA,        03/05/2021,        I,        NaN,        NaN
$ORCL,        03/05/2021,        D,        NaN,        NaN
$TREX,        03/05/2021,        I,        NaN,        NaN
$ULTA,        03/05/2021,        D,        NaN,        NaN
$UMC,        03/05/2021,        L,        NaN,        NaN
$CVM,        03/04/2021,        L,        NaN,        NaN
$FEYE,        03/04/2021,        I,        NaN,        NaN
$SPLK,        03/04/2021,        I,        NaN,        NaN
$AEP,        03/03/2021,        I,        NaN,        NaN
$BA,        03/03/2021,        D,        NaN,        NaN
$EBS,        03/03/2021,        I,        NaN,        NaN
$FB,        03/03/2021,        L,        NaN,        NaN
$GRPN,        03/03/2021,        L,        NaN,        NaN
$NCLH,        03/03/2021,        D,        NaN,        NaN
$RCL,        03/03/2021,        D,        NaN,        NaN
$UAL,        03/03/2021,        D,        NaN,        NaN
$WEN,        03/03/2021,        I,        NaN,        NaN
$BWA,        03/02/2021,        L,        NaN,        NaN
$CGC,        03/02/2021,        I,        NaN,        NaN
$JNJ,        03/02/2021,        I,        NaN,        NaN
$MGA,        03/02/2021,        L,        NaN,        NaN
$PANW,        03/02/2021,        L,        NaN,        NaN
$PEG,        03/02/2021,        I,        NaN,        NaN
$PFE,        03/02/2021,        L,        NaN,        NaN
$XL,        03/02/2021,        I,        NaN,        NaN
$ZG,        03/02/2021,        L,        NaN,        NaN
$ABNB,        03/01/2021,        D,        NaN,        NaN
$BYND,        03/01/2021,        L,        NaN,        NaN
$CRM,        03/01/2021,        D,        NaN,        NaN
$EW,        03/01/2021,        L,        NaN,        NaN
$F,        03/01/2021,        D,        NaN,        NaN
$FRT,        03/01/2021,        D,        NaN,        NaN
$FSR,        03/01/2021,        D,        NaN,        NaN
$MLM,        03/01/2021,        I,        NaN,        NaN
$NVDA,        03/01/2021,        D,        NaN,        NaN
$PENN,        03/01/2021,        L,        NaN,        NaN
$RL,        03/01/2021,        D,        NaN,        NaN
$SAIL,        03/01/2021,        I,        NaN,        NaN
$SNAP,        03/01/2021,        L,        NaN,        NaN
$SQ,        03/01/2021,        D,        NaN,        NaN
$TWTR,        03/01/2021,        D,        NaN,        NaN
$ULTA,        03/01/2021,        D,        NaN,        NaN
$ANET,        02/26/2021,        I,        NaN,        NaN
$COST,        02/26/2021,        D,        NaN,        NaN
$DLTR,        02/26/2021,        D,        NaN,        NaN
$LDL,        02/26/2021,        I,        NaN,        NaN
$LMND,        02/26/2021,        D,        NaN,        NaN
$MSGS,        02/26/2021,        L,        NaN,        NaN
$NK,        02/26/2021,        L,        NaN,        NaN
$RKT,        02/26/2021,        L,        NaN,        NaN
$SNOW,        02/26/2021,        D,        NaN,        NaN
$TGT,        02/26/2021,        D,        NaN,        NaN
$TSLA,        02/26/2021,        L,        NaN,        NaN
$WDAY,        02/26/2021,        I,        NaN,        NaN
$WEN,        02/26/2021,        D,        NaN,        NaN
$ZM,        02/26/2021,        D,        NaN,        NaN
$ABNB,        02/25/2021,        I,        NaN,        NaN
$CRM,        02/25/2021,        I,        NaN,        NaN
$FSR,        02/25/2021,        I,        NaN,        NaN
$MRNA,        02/25/2021,        L,        NaN,        NaN
$NARI,        02/25/2021,        L,        NaN,        NaN
$NSTG,        02/25/2021,        L,        NaN,        NaN
$NVDA,        02/25/2021,        I,        NaN,        NaN
$TWTR,        02/25/2021,        I,        NaN,        NaN
$ABT,        02/24/2021,        L,        NaN,        NaN
$ALGN,        02/24/2021,        D,        NaN,        NaN
$AMD,        02/24/2021,        L,        NaN,        NaN
$APPH,        02/24/2021,        D,        NaN,        NaN
$COST,        02/24/2021,        L,        NaN,        NaN
$DKNG,        02/24/2021,        D,        NaN,        NaN
$ENPH,        02/24/2021,        L,        NaN,        NaN
$HUBS,        02/24/2021,        D,        NaN,        NaN
$IPOE,        02/24/2021,        D,        NaN,        NaN
$ISRG,        02/24/2021,        D,        NaN,        NaN
$LPRO,        02/24/2021,        D,        NaN,        NaN
$LRCX,        02/24/2021,        D,        NaN,        NaN
$LULU,        02/24/2021,        L,        NaN,        NaN
$MP,        02/24/2021,        I,        NaN,        NaN
$NFLX,        02/24/2021,        D,        NaN,        NaN
$NOW,        02/24/2021,        D,        NaN,        NaN
$NVDA,        02/24/2021,        D,        NaN,        NaN
$PRCH,        02/24/2021,        D,        NaN,        NaN
$SKLZ,        02/24/2021,        D,        NaN,        NaN
$STPK,        02/24/2021,        D,        NaN,        NaN
$TSLA,        02/24/2021,        D,        NaN,        NaN
$TTD,        02/24/2021,        D,        NaN,        NaN
$UPWK,        02/24/2021,        I,        NaN,        NaN
$UTZ,        02/24/2021,        D,        NaN,        NaN
$VRT,        02/24/2021,        D,        NaN,        NaN
$BCO,        02/23/2021,        I,        NaN,        NaN
$CAG,        02/23/2021,        I,        NaN,        NaN
$CGC,        02/23/2021,        L,        NaN,        NaN
$CRL,        02/23/2021,        I,        NaN,        NaN
$EXPI,        02/23/2021,        L,        NaN,        NaN
$VRTX,        02/23/2021,        L,        NaN,        NaN
$AMBA,        02/22/2021,        L,        NaN,        NaN
$AXP,        02/22/2021,        D,        NaN,        NaN
$AZEK,        02/22/2021,        L,        NaN,        NaN
$BA,        02/22/2021,        D,        NaN,        NaN
$BCC,        02/22/2021,        L,        NaN,        NaN
$CAT,        02/22/2021,        D,        NaN,        NaN
$DG,        02/22/2021,        L,        NaN,        NaN
$DIS,        02/22/2021,        D,        NaN,        NaN
$EL,        02/22/2021,        D,        NaN,        NaN
$LLY,        02/22/2021,        I,        NaN,        NaN
$LUV,        02/22/2021,        D,        NaN,        NaN
$MA,        02/22/2021,        D,        NaN,        NaN
$MAR,        02/22/2021,        D,        NaN,        NaN
$NUE,        02/22/2021,        D,        NaN,        NaN
$ON,        02/22/2021,        I,        NaN,        NaN
$PANW,        02/22/2021,        I,        NaN,        NaN
$PENN,        02/22/2021,        D,        NaN,        NaN
$RCL,        02/22/2021,        D,        NaN,        NaN
$SPG,        02/22/2021,        D,        NaN,        NaN
$TREX,        02/22/2021,        L,        NaN,        NaN
$V,        02/22/2021,        D,        NaN,        NaN
$WYNN,        02/22/2021,        D,        NaN,        NaN
$XPO,        02/22/2021,        L,        NaN,        NaN
$ABBV,        02/12/2021,        L,        NaN,        NaN
$AFRM,        02/12/2021,        L,        NaN,        NaN
$AMAT,        02/12/2021,        D,        NaN,        NaN
$AZEK,        02/12/2021,        I,        NaN,        NaN
$BA,        02/12/2021,        L,        NaN,        NaN
$CVS,        02/12/2021,        D,        NaN,        NaN
$DD,        02/12/2021,        L,        NaN,        NaN
$DXCM,        02/12/2021,        I,        NaN,        NaN
$EMR,        02/12/2021,        D,        NaN,        NaN
$FSLY,        02/12/2021,        D,        NaN,        NaN
$GOLD,        02/12/2021,        D,        NaN,        NaN
$HON,        02/12/2021,        L,        NaN,        NaN
$NVDA,        02/12/2021,        L,        NaN,        NaN
$ROKU,        02/12/2021,        D,        NaN,        NaN
$STPK,        02/12/2021,        I,        NaN,        NaN
$TTD,        02/12/2021,        D,        NaN,        NaN
$TWLO,        02/12/2021,        D,        NaN,        NaN
$WMT,        02/12/2021,        D,        NaN,        NaN
$ZM,        02/12/2021,        L,        NaN,        NaN
$ZTS,        02/12/2021,        D,        NaN,        NaN
$AMAT,        02/11/2021,        D,        NaN,        NaN
$AQB,        02/11/2021,        L,        NaN,        NaN
$BA,        02/11/2021,        D,        NaN,        NaN
$BMBL,        02/11/2021,        F,        NaN,        NaN
$DIS,        02/11/2021,        D,        NaN,        NaN
$HRL,        02/11/2021,        I,        NaN,        NaN
$IDCC,        02/11/2021,        L,        NaN,        NaN
$KLAC,        02/11/2021,        D,        NaN,        NaN
$LRCX,        02/11/2021,        D,        NaN,        NaN
$MTCH,        02/11/2021,        F,        NaN,        NaN
$NCLH,        02/11/2021,        D,        NaN,        NaN
$PYPL,        02/11/2021,        I,        NaN,        NaN
$SONO,        02/11/2021,        D,        NaN,        NaN
$ST,        02/11/2021,        L,        NaN,        NaN
$ZG,        02/11/2021,        D,        NaN,        NaN
$JNPR,        02/10/2021,        I,        NaN,        NaN
$MAT,        02/10/2021,        I,        NaN,        NaN
$MGNI,        02/10/2021,        L,        NaN,        NaN
$MITK,        02/10/2021,        L,        NaN,        NaN
$SWKS,        02/10/2021,        L,        NaN,        NaN
$ASPN,        02/09/2021,        L,        NaN,        NaN
$BILL,        02/09/2021,        I,        NaN,        NaN
$CHGG,        02/09/2021,        I,        NaN,        NaN
$CMI,        02/09/2021,        L,        NaN,        NaN
$SFIX,        02/09/2021,        L,        NaN,        NaN
$TTWO,        02/09/2021,        I,        NaN,        NaN
$AMD,        02/08/2021,        L,        NaN,        NaN
$BA,        02/08/2021,        D,        NaN,        NaN
$DIS,        02/08/2021,        D,        NaN,        NaN
$DY,        02/08/2021,        L,        NaN,        NaN
$LEN,        02/08/2021,        L,        NaN,        NaN
$LIN,        02/08/2021,        I,        NaN,        NaN
$MLM,        02/08/2021,        L,        NaN,        NaN
$PHM,        02/08/2021,        L,        NaN,        NaN
$SHW,        02/08/2021,        L,        NaN,        NaN
$VERU,        02/08/2021,        I,        NaN,        NaN
$VMC,        02/08/2021,        L,        NaN,        NaN
$BC,        02/05/2021,        I,        NaN,        NaN
$CGC,        02/05/2021,        D,        NaN,        NaN
$CSCO,        02/05/2021,        D,        NaN,        NaN
$DD,        02/05/2021,        D,        NaN,        NaN
$DIS,        02/05/2021,        D,        NaN,        NaN
$EL,        02/05/2021,        I,        NaN,        NaN
$GM,        02/05/2021,        D,        NaN,        NaN
$NCNO,        02/05/2021,        L,        NaN,        NaN
$NWL,        02/05/2021,        D,        NaN,        NaN
$PEP,        02/05/2021,        D,        NaN,        NaN
$PYPL,        02/05/2021,        D,        NaN,        NaN
$REGI,        02/05/2021,        L,        NaN,        NaN
$SNAP,        02/05/2021,        L,        NaN,        NaN
$SNY,        02/05/2021,        I,        NaN,        NaN
$TTWO,        02/05/2021,        D,        NaN,        NaN
$TWTR,        02/05/2021,        D,        NaN,        NaN
$AAPL,        02/04/2021,        D,        NaN,        NaN
$CLX,        02/04/2021,        I,        NaN,        NaN
$CNC,        02/04/2021,        L,        NaN,        NaN
$COST,        02/04/2021,        D,        NaN,        NaN
$DDD,        02/04/2021,        L,        NaN,        NaN
$DIS,        02/04/2021,        D,        NaN,        NaN
$HD,        02/04/2021,        D,        NaN,        NaN
$HON,        02/04/2021,        D,        NaN,        NaN
$MSFT,        02/04/2021,        D,        NaN,        NaN
$NKE,        02/04/2021,        D,        NaN,        NaN
$PLUG,        02/04/2021,        F,        NaN,        NaN
$PYPL,        02/04/2021,        D,        NaN,        NaN
$ROK,        02/04/2021,        I,        NaN,        NaN
$TSLA,        02/04/2021,        F,        NaN,        NaN
$UPWK,        02/04/2021,        L,        NaN,        NaN
$WMT,        02/04/2021,        D,        NaN,        NaN
$AAPL,        02/03/2021,        D,        NaN,        NaN
$EBAY,        02/03/2021,        L,        NaN,        NaN
$ELF,        02/03/2021,        I,        NaN,        NaN
$FB,        02/03/2021,        D,        NaN,        NaN
$FUTU,        02/03/2021,        L,        NaN,        NaN
$HOLX,        02/03/2021,        I,        NaN,        NaN
$MSFT,        02/03/2021,        D,        NaN,        NaN
$SWKS,        02/03/2021,        I,        NaN,        NaN
$VZ,        02/03/2021,        L,        NaN,        NaN
$AEP,        02/02/2021,        L,        NaN,        NaN
$BA,        02/02/2021,        D,        NaN,        NaN
$BABA,        02/02/2021,        L,        NaN,        NaN
$DIS,        02/02/2021,        D,        NaN,        NaN
$ED,        02/02/2021,        L,        NaN,        NaN
$NSC,        02/02/2021,        I,        NaN,        NaN
$UPS,        02/02/2021,        I,        NaN,        NaN
$AAPL,        02/01/2021,        D,        NaN,        NaN
$AMAT,        02/01/2021,        D,        NaN,        NaN
$AMSC,        02/01/2021,        L,        NaN,        NaN
$BA,        02/01/2021,        D,        NaN,        NaN
$DIS,        02/01/2021,        D,        NaN,        NaN
$DKS,        02/01/2021,        I,        NaN,        NaN
$LEN,        02/01/2021,        D,        NaN,        NaN
$LRCX,        02/01/2021,        D,        NaN,        NaN
$OPEN,        02/01/2021,        L,        NaN,        NaN
$OTIS,        02/01/2021,        I,        NaN,        NaN
$PLUG,        02/01/2021,        L,        NaN,        NaN
$SBUX,        02/01/2021,        D,        NaN,        NaN
$SWKS,        02/01/2021,        D,        NaN,        NaN
$TGT,        02/01/2021,        D,        NaN,        NaN
$TMO,        02/01/2021,        I,        NaN,        NaN
$TSLA,        02/01/2021,        D,        NaN,        NaN
